==== LOOP START 2026-08-10T17:37:37+00:00 iters=1..7 min_free=35000 ====
==== Iteration 1 2026-08-10T17:37:37+00:00 ====
MSA already present for Iteration 1
Wrote ColabFold command list: /lambda/nfs/file2/jrf/AlloDesigner/allo_stepwise/generated/iteration_1_colabfold_commands.sh
[2026-08-10T21:09:48+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:10:48+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:11:48+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:12:48+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:13:48+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:14:49+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:15:49+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:16:49+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:17:49+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:18:49+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:19:49+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:20:49+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:21:49+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:22:49+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:23:49+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:24:49+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:25:49+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:26:49+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:27:49+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:28:49+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:29:49+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:30:49+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:31:49+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:32:49+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:33:49+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:34:49+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:35:49+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:36:49+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:37:49+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:38:49+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:39:49+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:40:49+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:41:50+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:42:50+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:43:50+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:44:50+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:45:50+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:46:50+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:47:50+00:00] GPU free=6001 MiB (need >= 35000)
